淘宝店铺名称,淘宝店铺链接,淘宝皇冠等级,好评率,描述评分,服务评分,物流评分,开店时间,是否有金牌认证,是否有消费者协议
伟玲通讯数码,https://shop63900436.taobao.com,18,99.59%,4.8,4.8,4.8,2010-12-12,1,1
例米数码,https://shop102202459.taobao.com,12,99.88%,4.9,4.9,4.9,2013-02-12,1,1
叮当数码手机,https://shop35060648.taobao.com,17,98.16%,4.8,4.8,4.8,2007-11-15,0,1
汇群数码,https://shop130567002.taobao.com,15,99.32%,4.8,4.9,4.9,0,0,1
苹安数码科技,https://shop35633538.taobao.com,14,99.92%,4.8,4.9,4.9,2008-04-11,0,1
风越数码批发,https://shop155984654.taobao.com,14,99.67%,4.8,4.8,4.9,2016-05-02,0,1
深圳远望数码手机,https://shop59243881.taobao.com,16,99.22%,4.8,4.7,4.8,2009-09-11,0,1
旺隆数码通讯,https://shop62261766.taobao.com,15,99.93%,4.8,4.9,4.9,0,1,1
友铭数码通讯,https://shop58346398.taobao.com,15,97.94%,4.7,4.7,4.8,0,1,1
以诺数码,https://shop144923302.taobao.com,13,99.93%,4.9,4.9,4.9,2016-01-07,1,1
鼎讯数码科技,https://shop70197909.taobao.com,13,98.04%,4.9,4.9,4.9,2012-01-04,1,1
财源数码科技,https://shop105840434.taobao.com,14,99.62%,4.9,4.9,4.9,0,1,1
诺诺数码金牌店,https://shop34973733.taobao.com,15,99.72%,4.8,4.9,4.9,0,1,1
海贼王数码通讯,https://shop72927236.taobao.com,13,99.34%,4.9,4.9,4.9,2012-07-23,0,1
轻风数码工作室,https://shop36675395.taobao.com,18,99.65%,4.8,4.8,4.8,2008-11-15,1,1
钱柜数码 钱柜集市,https://shop57632976.taobao.com,15,99.71%,4.9,4.9,4.9,2009-03-27,0,1
金誉数码手机,https://shop64084756.taobao.com,15,99.23%,4.8,4.8,4.8,2010-12-21,1,1
薇薇娜数码商城,https://shop35863431.taobao.com,13,99.85%,4.9,4.9,4.9,2008-05-27,1,1
淘酷数码通讯,https://shop68330574.taobao.com,15,99.67%,4.8,4.8,4.8,2011-08-14,1,1
快e数码网 金牌卖家,https://shop33110176.taobao.com,15,98.99%,4.9,4.9,4.9,2005-04-13,1,1
能时代数码,https://shop412510939.taobao.com,14,99.89%,4.9,4.9,4.9,0,0,1
叮当数码手机88,https://shop569203231.taobao.com,12,94.81%,4.3,4.5,4.6,2017-07-11,0,1
富泰数码科技,https://shop155561559.taobao.com,10,98.73%,4.9,4.9,4.9,2016-04-25,1,1
明通数码手机,https://shop60431964.taobao.com,15,99.27%,4.8,4.8,4.8,2010-01-22,0,1
胜荣数码,https://shop127878973.taobao.com,16,97.79%,4.7,4.7,4.7,2015-07-30,0,1
深圳金海龙数码,https://shop72718661.taobao.com,15,97.17%,4.6,4.7,4.7,2012-07-09,1,1
奥克斯数码,https://shop61260837.taobao.com,12,98.61%,4.9,4.9,4.9,2010-04-30,1,1
舞梦数码科技,https://shop63036305.taobao.com,16,98.85%,4.9,4.9,4.9,2010-10-10,1,1
荣耀MVP数码,https://shop152339558.taobao.com,11,99.95%,4.9,4.9,4.9,2016-04-07,1,1
锐嘉弘数码科技,https://shop105161758.taobao.com,13,97.83%,4.8,4.8,4.8,2013-07-05,0,1
辉辉数码,https://shop112726282.taobao.com,12,95.14%,4.5,4.5,4.6,2014-08-10,0,1
和风数码,https://shop60957503.taobao.com,18,99.48%,4.8,4.8,4.8,2010-04-04,1,1
有度数码城,https://shop72117733.taobao.com,14,99.10%,4.9,4.9,4.9,2012-05-29,1,1
腾创数码,https://shop61472963.taobao.com,12,99.51%,4.8,4.8,4.8,2010-05-18,1,1
大元数码城,https://shop187150986.taobao.com,13,99.68%,4.8,4.8,4.8,2018-04-11,1,1
梧桐数码通讯,https://shop107646936.taobao.com,14,99.51%,4.9,4.9,4.9,2013-11-24,1,1
翔宇数码速修,https://shop390641343.taobao.com,13,99.90%,4.9,4.9,4.9,0,0,1
华信通数码商城,https://shop110342906.taobao.com,15,99.59%,4.8,4.8,4.8,2014-04-20,1,1
西西里数码手机店,https://shop593702436.taobao.com,12,97.27%,4.6,4.7,4.7,2017-11-13,0,1
笔记本电脑数码商城,https://shop37077126.taobao.com,12,99.82%,4.9,4.9,4.9,2009-02-07,1,1
淘酷数码通讯,https://shop68330574.taobao.com,15,99.67%,4.8,4.8,4.8,2011-08-14,1,1
瑞宁数码,https://shop205625970.taobao.com,14,99.46%,4.7,4.7,4.7,2019-02-21,0,1
小匠音频,https://shop58669229.taobao.com,14,99.01%,4.8,4.8,4.9,2009-07-06,1,1
FUNRE帆睿数码,https://shop62101814.taobao.com,14,98.76%,4.7,4.8,4.8,0,0,1
快e数码网 金牌卖家,https://shop33110176.taobao.com,15,98.99%,4.9,4.9,4.9,2005-04-13,1,1
鼎诺数码科技,https://shop107900081.taobao.com,12,98.25%,4.8,4.8,4.8,2013-12-09,0,1
能时代数码,https://shop412510939.taobao.com,14,99.89%,4.9,4.9,4.9,0,0,1
艾克斯数码商城,https://shop116126288.taobao.com,9,99.64%,4.9,4.9,4.9,0,1,1
君尚国际数码,https://shop112397907.taobao.com,15,99.62%,4.8,4.8,4.8,2014-07-26,0,1
旺仔数码科技,https://shop59334316.taobao.com,11,99.44%,4.8,4.9,4.9,2009-09-22,1,1
大G数码汇,https://shop62807616.taobao.com,14,99.82%,4.9,4.9,4.9,2010-09-16,0,1
西湖数码,https://shop34236666.taobao.com,15,98.49%,4.9,4.9,4.9,2007-01-28,1,1
鲁信数码手机店,https://shop128026737.taobao.com,13,99.07%,4.8,4.8,4.8,2015-08-01,1,1
叮当数码手机88,https://shop569203231.taobao.com,12,94.81%,4.3,4.5,4.6,2017-07-11,0,1
富泰数码科技,https://shop155561559.taobao.com,10,98.73%,4.9,4.9,4.9,2016-04-25,1,1
明通数码手机,https://shop60431964.taobao.com,15,99.27%,4.8,4.8,4.8,2010-01-22,0,1
杰出青年数码,https://shop245970465.taobao.com,9,99.47%,4.9,4.9,4.9,2019-05-17,1,1
大深圳数码,https://shop112092043.taobao.com,14,98.28%,4.9,4.9,4.9,0,1,1
雅依数码,https://shop109446165.taobao.com,12,96.11%,4.9,4.9,4.9,2014-03-15,1,1
民兴数码商贸行,https://shop36696479.taobao.com,12,99.26%,4.9,4.9,4.9,2008-11-18,1,1
胜荣数码,https://shop127878973.taobao.com,16,97.79%,4.7,4.7,4.7,2015-07-30,0,1
烽烽数码,https://shop35978416.taobao.com,12,97.73%,4.1,4.3,4.5,2008-06-20,0,1
深圳金海龙数码,https://shop72718661.taobao.com,15,97.17%,4.6,4.7,4.7,2012-07-09,1,1
奥克斯数码,https://shop61260837.taobao.com,12,98.61%,4.9,4.9,4.9,2010-04-30,1,1
福兴小店,https://shop126599196.taobao.com,14,99.17%,4.8,4.8,4.8,2015-07-09,1,1
舞梦数码科技,https://shop63036305.taobao.com,16,98.85%,4.9,4.9,4.9,2010-10-10,1,1
荣耀MVP数码,https://shop152339558.taobao.com,11,99.95%,4.9,4.9,4.9,2016-04-07,1,1
诚信老兵数码科技,https://shop108746936.taobao.com,12,99.70%,4.9,4.9,4.9,2014-02-16,0,1
锐嘉弘数码科技,https://shop105161758.taobao.com,13,97.83%,4.8,4.8,4.8,2013-07-05,0,1
辉辉数码,https://shop112726282.taobao.com,12,95.14%,4.5,4.5,4.6,2014-08-10,0,1
维智数码科技,https://shop291840927.taobao.com,13,99.12%,4.9,4.9,4.9,2016-09-20,0,1
和风数码,https://shop60957503.taobao.com,18,99.48%,4.8,4.8,4.8,2010-04-04,1,1
有度数码城,https://shop72117733.taobao.com,14,99.10%,4.9,4.9,4.9,2012-05-29,1,1
萌达数码科技,https://shop143398683.taobao.com,12,99.64%,4.8,4.8,4.9,2015-12-13,0,1
淘品优选数码,https://shop35781825.taobao.com,13,97.99%,4.8,4.7,4.8,2008-05-10,0,1
腾创数码,https://shop61472963.taobao.com,12,99.51%,4.8,4.8,4.8,2010-05-18,1,1
数码高端外设店,https://shop115946632.taobao.com,11,99.40%,4.8,4.8,4.8,2014-12-20,1,1
大元数码城,https://shop187150986.taobao.com,13,99.68%,4.8,4.8,4.8,2018-04-11,1,1
梧桐数码通讯,https://shop107646936.taobao.com,14,99.51%,4.9,4.9,4.9,2013-11-24,1,1
翔宇数码速修,https://shop390641343.taobao.com,13,99.90%,4.9,4.9,4.9,0,0,1
华信通数码商城,https://shop110342906.taobao.com,15,99.59%,4.8,4.8,4.8,2014-04-20,1,1
西西里数码手机店,https://shop593702436.taobao.com,12,97.27%,4.6,4.7,4.7,2017-11-13,0,1
盛林数码城,https://shop71604197.taobao.com,15,98.47%,4.9,4.9,4.9,2012-04-24,1,1
神洲数码麒舰店,https://shop71925280.taobao.com,14,99.95%,4.9,4.9,4.9,2012-05-16,1,1
盛星数码店,https://shop73237684.taobao.com,13,99.87%,4.9,4.9,4.9,2012-08-15,1,1
Miss精品数码,https://shop65427855.taobao.com,13,99.03%,4.7,4.8,4.8,2011-03-13,1,1
小柒數碼折扣商城,https://shop118872292.taobao.com,12,99.60%,4.8,4.9,4.9,2015-04-08,1,1
上海海燕数码港,https://shop114145210.taobao.com,13,99.64%,4.9,4.9,4.9,2014-10-10,1,1
酒哥数码,https://shop256104787.taobao.com,12,99.53%,4.8,4.8,4.8,2017-05-28,0,1
品尚数码正品商城,https://shop34232172.taobao.com,13,99.54%,4.8,4.9,4.9,2007-01-26,0,1
爱华数码,https://shop112183926.taobao.com,9,99.15%,4.7,4.8,4.8,2014-07-17,0,1
69数码手机,https://shop58869237.taobao.com,15,97.81%,4.7,4.7,4.8,2009-07-29,0,1
良诚数码,https://shop475817011.taobao.com,10,99.15%,4.8,4.8,4.9,2017-02-08,1,1
单元数码,https://shop63050564.taobao.com,12,98.97%,4.8,4.8,4.8,0,1,1
合盛数码,https://shop112547056.taobao.com,11,98.95%,4.9,4.9,4.9,2014-08-02,0,1
白开水5G数码,https://shop190841188.taobao.com,11,96.73%,4.5,4.7,4.7,2017-07-11,0,1
众恒数码科技,https://shop34643749.taobao.com,13,99.33%,4.9,4.8,4.9,2007-07-09,1,1
趣评测商城,https://shop284768965.taobao.com,16,99.84%,4.8,4.8,4.8,0,0,1
全国正品数码通讯1号店,https://shop35729381.taobao.com,13,98.70%,4.8,4.8,4.8,2008-04-29,1,1
